"","TAB1","IGF1","IGF1R","FAS","FASLG","NGF","MAPK11","TNF","TP53","MTOR","STAT5A","CCR5","CCR7","CX3CR1","JAK2","JAK3","CXCL9","CX3CL1","STAT3","ICAM1","ATM","BCL2","CD40LG","SESN1","PRKAA2","BCL2L11","IL2","IL4","IL6","IL7","IL7R","TLR2","PPARGC1A","FOXO1","SIRT1","SOD2","KL","IFNG","KIR3DL1","TSLP","CD247","PDCD1","CD28","TLR9","AIRE"
"LUAD-516","44.38%","23.64%","43.41%","28.68%","9.11%","29.26%","49.03%","13.95%","53.1%","23.45%","7.75%","47.29%","9.3%","46.51%","53.49%","47.29%","28.49%","30.04%","7.95%","52.13%","24.22%","48.84%","10.66%","51.16%","23.64%","5.81%","32.36%","40.12%","9.3%","14.15%","15.7%","32.75%","23.84%","56.59%","26.36%","50.39%","55.81%","22.09%","34.11%","40.12%","9.88%","13.37%","8.91%","46.32%","34.3%"
"BLCA-408","43.38%","19.12%","35.78%","40.93%","14.22%","13.97%","46.57%","21.08%","51.47%","18.63%","9.07%","26.72%","9.31%","22.55%","45.1%","27.7%","32.35%","30.15%","9.07%","30.15%","37.99%","44.36%","20.59%","47.06%","14.95%","20.34%","40.2%","47.3%","7.6%","10.78%","16.67%","40.69%","35.54%","32.35%","35.29%","46.08%","25.98%","21.08%","16.91%","48.53%","15.2%","48.77%","37.01%","30.39%","21.57%"
"HNSC-522","14.75%","10.73%","19.16%","26.05%","8.43%","25.29%","18.01%","17.05%","25.48%","18.2%","7.85%","71.65%","7.85%","70.31%","45.79%","20.88%","25.86%","18.2%","8.05%","23.75%","46.17%","53.45%","12.64%","17.62%","14.37%","7.28%","29.89%","39.66%","6.9%","7.66%","10.15%","35.82%","39.46%","43.49%","24.33%","17.05%","43.3%","12.64%","17.82%","39.85%","8.62%","29.89%","23.37%","72.03%","39.46%"
"KIRC-528","7.58%","1.14%","7.2%","18.18%","6.82%","11.93%","7.58%","18.94%","9.85%","19.13%","5.87%","88.07%","5.87%","88.07%","28.79%","2.27%","12.69%","4.17%","5.87%","2.65%","5.87%","18.37%","10.04%","27.46%","13.64%","2.84%","14.77%","14.96%","0.57%","13.45%","1.14%","15.34%","13.26%","15.53%","16.67%","28.6%","15.53%","0.95%","1.33%","10.23%","6.82%","10.23%","5.68%","87.88%","10.42%"
"KIRP-288","20.83%","0.35%","10.76%","6.25%","6.94%","12.5%","21.18%","9.72%","5.9%","18.06%","0.35%","8.68%","0.35%","8.33%","12.15%","5.21%","9.03%","2.43%","0.35%","6.25%","10.76%","15.62%","10.07%","9.72%","12.5%","1.39%","9.03%","4.51%","0.35%","3.12%","2.08%","9.38%","8.68%","8.68%","6.25%","10.76%","8.68%","0%","6.25%","4.17%","6.94%","4.51%","3.12%","9.03%","14.58%"
"LIHC-370","20.54%","12.43%","23.24%","25.95%","10%","22.16%","23.24%","7.03%","60.81%","41.35%","12.16%","17.3%","11.35%","14.32%","33.51%","16.49%","41.89%","40%","11.89%","22.7%","25.41%","24.59%","17.57%","34.86%","26.76%","13.78%","42.43%","13.51%","5.41%","17.03%","5.95%","41.89%","24.86%","43.78%","21.62%","37.84%","39.46%","9.73%","10%","13.51%","11.35%","17.57%","11.62%","19.19%","30.81%"
"LUSC-501","20.76%","14.97%","24.55%","52.3%","10.58%","44.51%","26.35%","25.15%","62.67%","44.91%","23.35%","85.43%","23.75%","83.03%","67.27%","32.93%","50.7%","36.93%","23.35%","40.12%","33.93%","43.11%","21.56%","26.35%","37.33%","7.39%","61.28%","76.45%","14.57%","13.97%","19.76%","64.67%","63.27%","68.46%","44.71%","26.15%","67.86%","12.38%","27.35%","77.25%","10.18%","30.94%","20.36%","86.83%","56.89%"
"THCA-499","17.84%","0%","1.6%","2.2%","0.8%","0.6%","18.04%","0.8%","1.6%","0.8%","0.8%","0.6%","0.8%","0.6%","4.21%","1.2%","0.4%","0.4%","0.8%","1.4%","1.8%","1%","1%","1.4%","0.8%","2%","0.4%","0.4%","0%","0.8%","0%","0.4%","0.4%","3.61%","2%","1.2%","3.01%","0%","0.2%","0.2%","1%","2.4%","2.2%","0.6%","1.6%"
"COAD-451","33.48%","13.3%","33.48%","22.62%","9.98%","26.61%","36.14%","9.98%","56.32%","32.15%","11.97%","15.08%","13.08%","13.75%","13.3%","9.09%","27.94%","6.43%","12.2%","9.76%","16.63%","62.97%","11.53%","13.75%","27.72%","2.22%","30.82%","22.39%","0.89%","5.76%","11.53%","31.71%","31.26%","6.21%","19.29%","12.64%","5.76%","11.75%","9.53%","28.16%","10.2%","4.66%","2.88%","16.41%","29.49%"
"GBM-577","33.97%","10.05%","18.89%","89.08%","2.6%","4.16%","37.44%","13.86%","17.16%","12.82%","9.53%","9.19%","10.57%","8.67%","43.5%","5.72%","10.57%","15.25%","9.53%","6.07%","16.64%","12.31%","18.54%","24.78%","3.99%","6.41%","10.92%","8.32%","2.6%","7.97%","7.11%","12.13%","11.09%","38.99%","87.35%","27.38%","35.88%","16.29%","14.9%","7.63%","2.08%","10.05%","6.41%","9.71%","9.71%"
