"","TAB1","IGF1","IGF1R","FAS","FASLG","NGF","MAPK11","TNF","TP53","MTOR","STAT5A","CCR5","CCR7","CX3CR1","JAK2","JAK3","CXCL9","CX3CL1","STAT3","ICAM1","ATM","BCL2","CD40LG","SESN1","PRKAA2","BCL2L11","IL2","IL4","IL6","IL7","IL7R","TLR2","PPARGC1A","FOXO1","SIRT1","SOD2","KL","HLA.A","HLA.B","IFNG","KIR3DL1","TSLP","CD247","PDCD1","CD28","TLR9","AIRE"
"LUAD-513","1.17%","1.36%","1.75%","0.58%","1.95%","1.75%","0.39%","0.58%","53.22%","5.65%","0.78%","0.97%","0.19%","1.95%","3.12%","2.34%","0.78%","0.58%","0.97%","0.58%","9.55%","0.97%","1.36%","0.19%","1.56%","0.78%","1.17%","0.19%","0.78%","0.58%","6.24%","1.75%","3.9%","0.58%","0.39%","1.17%","2.53%","1.17%","0.58%","1.36%","5.26%","2.53%","1.56%","0.97%","1.56%","1.36%","0.97%"
"BLCA-411","1.46%","1.22%","3.41%","0.49%","0.49%","0.49%","0.73%","0.73%","56.93%","3.65%","0.73%","1.22%","1.22%","0.97%","1.95%","3.41%","0.73%","2.43%","1.46%","1.7%","17.03%","0.73%","0.73%","2.43%","1.7%","0.73%","0.24%","0.24%","0.97%","0.24%","2.19%","0.73%","4.38%","0.49%","2.19%","0.24%","1.95%","1.46%","0.97%","0.73%","1.22%","1.46%","0.73%","0.73%","1.22%","1.95%","0.73%"
"HNSC-507","1.38%","0.39%","2.76%","0.99%","0.79%","0.39%","0.39%","0%","85.01%","1.97%","0.59%","0%","0.39%","0%","0.99%","1.18%","0.99%","0.99%","1.18%","1.38%","3.35%","0.2%","0.79%","0.59%","0.99%","0.2%","0.59%","0.2%","0.59%","0.99%","1.58%","0.2%","0.99%","0.79%","0.39%","0.39%","1.58%","4.54%","4.54%","0.2%","0.79%","0.79%","0.59%","0.2%","0.79%","0.99%","0.59%"
"KIRC-368","0.54%","0.82%","0.82%","0.27%","0%","0.27%","0%","0.27%","2.99%","8.97%","0.54%","0%","0.27%","0.27%","0.82%","0.54%","0.27%","0%","0.54%","0%","5.16%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0.27%","0.27%","1.09%","0.27%","1.09%","0.27%","0.82%","0%","0.27%","0%","0.27%","0.27%","0%","0%","0.54%","0%","0%"
"KIRP-281","0%","0%","0.36%","0%","0.36%","0%","0%","0.71%","2.14%","1.42%","0.36%","0.36%","0.36%","0%","0.36%","0.36%","0%","0.36%","0.36%","0.71%","1.78%","0.36%","0%","0.71%","0%","1.07%","0.36%","0.36%","0%","0%","0.36%","0.36%","0.36%","0.71%","0%","0%","1.42%","0.71%","0.36%","0.71%","0%","0%","0%","0%","0%","0%","0.71%"
"LIHC-363","0.55%","0%","3.58%","0.28%","0.55%","0%","0%","0.55%","31.4%","1.93%","0.28%","1.1%","1.1%","0.28%","0.83%","1.93%","0%","0.28%","1.38%","0.55%","3.58%","0.28%","0.28%","0.55%","0.28%","0%","0%","0.28%","0.83%","0.28%","0%","0.28%","1.65%","0.28%","0.28%","1.38%","0.83%","0.55%","1.1%","0.55%","0%","0.55%","0.83%","0.28%","0.28%","1.38%","1.1%"
"LUSC-480","1.04%","1.25%","1.04%","0.62%","1.67%","0.62%","0.62%","1.25%","89.17%","3.96%","0.83%","0.42%","0.21%","1.88%","3.12%","2.92%","0.83%","1.25%","1.25%","0.83%","6.04%","0.21%","1.25%","0.83%","1.25%","0%","0%","0.42%","0.83%","0.62%","6.25%","0.42%","2.71%","0.62%","0.62%","0%","1.67%","1.67%","1.46%","0.42%","2.71%","0.42%","1.46%","1.04%","1.67%","1.04%","2.08%"
"THCA-492","0%","0%","0.41%","0%","0%","0.2%","0%","0%","0.61%","0%","0.2%","0%","0%","0%","0.2%","0%","0%","0%","0%","0.2%","1.22%","0%","0%","0.2%","0%","0%","0%","0%","0%","0%","0.61%","0.2%","0.61%","0%","0%","0%","0%","0%","0%","0%","0.2%","0%","0%","0.2%","0%","0%","0%"
"COAD-290","2.41%","3.79%","3.79%","2.76%","0.34%","1.72%","2.41%","0.34%","64.14%","13.1%","3.1%","7.93%","2.41%","2.76%","5.86%","5.17%","1.38%","2.76%","3.79%","1.38%","21.38%","2.41%","1.72%","1.38%","4.48%","2.07%","1.38%","2.07%","2.07%","3.45%","5.52%","2.76%","6.21%","2.76%","2.07%","4.14%","3.45%","4.14%","6.21%","1.38%","2.07%","2.41%","1.03%","1.72%","2.76%","5.52%","1.72%"
"GBM-314","0.32%","0.64%","1.91%","0%","0%","0.64%","0%","0.32%","35.99%","1.91%","0.64%","1.27%","0.32%","1.27%","1.91%","0.96%","0%","0.32%","0.64%","0.32%","3.18%","0.96%","0.32%","1.27%","0.32%","0.96%","0.32%","0.32%","0.64%","0.32%","0.96%","2.23%","1.59%","0.32%","0%","0.32%","1.59%","0%","0%","0.96%","0.64%","0.32%","0.64%","0.32%","0.64%","1.27%","0.96%"
