"gene","HR","z","pvalue","lower","upper"
"BCL2",0.987456804912948,-13.3739641461513,8.58412290892071e-41,0.985631856224289,0.989285132589102
"SESN1",0.988836254658908,-12.5817854908276,2.65950090395967e-36,0.987108444815162,0.990567088817633
"TLR2",1.00569992726243,11.7821277502064,4.82592473409742e-32,1.0047494931688,1.00665126041098
"PRKAA2",0.973143357668106,-10.2359153126317,1.3689450713345e-24,0.968083752024017,0.978229406901626
"IGF1R",0.994045723303263,-8.82693695467776,1.07581402857881e-18,0.992728432391465,0.995364762180859
"CX3CL1",0.997232581107194,-8.34687435321981,7.0093216569966e-17,0.99658386316391,0.997881721328007
"KL",0.993710009675011,-8.00685721777217,1.17676982887186e-15,0.992176347375263,0.995246042642085
"IL7",1.02149627060959,7.30919760578429,2.68742313341471e-13,1.01568710335695,1.027338663079
"IL6",1.00118884032617,7.22183124061608,5.12921030814026e-13,1.00086605614699,1.00151172860481
"JAK3",1.00461732412839,7.18965151613329,6.49568997681815e-13,1.00335649019265,1.00587974244837
"CX3CR1",1.00131880017441,6.85197605575911,7.28367502957423e-12,1.00094138831304,1.00169635434152
"CD247",0.988435610684334,-6.21627534727045,5.09094376635881e-10,0.984817214119719,0.992067301892372
"TAB1",0.993438518210479,-5.94933734219172,2.69230242605749e-09,0.991286329826034,0.995595379225529
"JAK2",1.0044424003957,5.79647185412593,6.77245446468206e-09,1.00293808532791,1.00594897179802
"TLR9",1.00810649679758,4.79052115558707,1.66348682350191e-06,1.00478194217646,1.01144205148048
"CXCL9",0.999539832497695,-4.31033538993625,1.6300713029387e-05,0.99933065855889,0.999749050219543
"BCL2L11",0.994923274931681,-4.0578665449442,4.95230525054806e-05,0.992480437342757,0.997372125188726
"PDCD1",0.991299420208619,-4.02681007250486,5.65386652432735e-05,0.987092028886233,0.995524745159504
"IL2",0.626373080056809,-3.9835042440596,6.79064582805902e-05,0.497589133215306,0.788488351593658
"MAPK11",0.995279886954582,-3.94038793711288,8.13499464619211e-05,0.99294038833441,0.997624897742311
"FASLG",0.980209058747737,-3.75084738672861,0.000176237949113307,0.970023822887339,0.990501239434731
"TP53",1.0009865177653,3.48963891435159,0.00048367360076182,1.00043231797826,1.00154102455703
"TNF",1.0047861218869,3.3696828439888,0.000752547453470627,1.00199951118578,1.00758048229159
"CCR5",0.995062821749604,-3.27758561907725,0.00104698972572236,0.99212209191152,0.998012268147929
"HLA-A",0.999973483397167,-2.8523249938012,0.00434007030658612,0.999955263024623,0.999991704101709
"CD28",0.985884387577956,-2.58359675975369,0.00977760363823559,0.97530908826149,0.996574355112918
"HLA-B",0.999984817033727,-2.54346891433308,0.010975782274985,0.999973117395129,0.999996516809211
"KIR3DL1",1.05436887824194,2.51842956078145,0.0117879459112273,1.01180923535899,1.09871870364055
"ATM",1.00279053773114,1.84895418233,0.0644644289124457,0.999832705565084,1.00575712013219
"MTOR",0.998360481734209,-1.57322826485834,0.115665972783309,0.996321692038422,1.00040344343935
"STAT3",1.00029567269342,1.27207068682667,0.203348005132244,0.999840146503575,1.00075140642054
"IGF1",0.999017757508798,-1.03907337878809,0.298770610765788,0.997167616974399,1.00087133078604
"FAS",1.00066748432865,0.916080334753956,0.359624761278061,0.999239936969923,1.00209707112894
"IL4",0.96887930059077,-0.6572350670648,0.511029780813184,0.881706407032703,1.06467083785004
"CCR7",1.00025971991749,0.450057077973603,0.652669284807517,0.999129152178991,1.00139156695348
"STAT5A",0.99975732863921,-0.443637423640492,0.657304744229813,0.99868592547071,1.00082988122288
"FOXO1",0.999789445573646,-0.205387849682697,0.837269112477227,0.997782407033714,1.00180052127005
