rank,batch,cmap name,dose,cell,score,up,down,instance_id
1,680,levomepromazine,9 ?M,PC3,1,0.224,-0.953,3701
2,680,mephenesin,22 ?M,PC3,0.981,0.347,-0.808,3675
3,656,lovastatin,10 ?M,MCF7,0.971,0.369,-0.774,2854
4,748,gentamicin,3 ?M,MCF7,0.961,0.372,-0.759,7237
5,680,trimethoprim,14 ?M,PC3,0.955,0.366,-0.759,3678
6,680,pentolonium,7 ?M,PC3,0.948,0.31,-0.807,3676
7,680,monensin,6 ?M,PC3,0.941,0.152,-0.956,3704
8,691,alprostadil,11 ?M,MCF7,0.937,0.253,-0.85,4179
9,688,trihexyphenidyl,12 ?M,PC3,0.929,0.36,-0.733,4015
10,691,myricetin,13 ?M,MCF7,0.926,0.268,-0.822,4170
11,752,leflunomide,15 ?M,MCF7,0.923,0.341,-0.746,6102
12,726,clofazimine,8 ?M,MCF7,0.916,0.41,-0.668,5277
13,705,naringenin,15 ?M,MCF7,0.91,0.369,-0.702,4422
14,691,furazolidone,18 ?M,MCF7,0.909,0.199,-0.871,4178
15,680,PNU-0251126,1 ?M,PC3,0.902,0.168,-0.894,3692
16,691,tolmetin,13 ?M,MCF7,0.901,0.318,-0.743,4167
17,735,metitepine,8 ?M,MCF7,0.899,0.485,-0.573,5413
18,676,methyldopate,15 ?M,MCF7,0.898,0.193,-0.864,7360
19,678,oxyphenbutazone,12 ?M,MCF7,0.893,0.266,-0.786,3582
20,680,guanadrel,8 ?M,PC3,0.893,0.126,-0.925,3698
21,727,valproic acid,500 ?M,PC3,0.889,0.278,-0.769,4464
22,726,biperiden,11 ?M,MCF7,0.882,0.232,-0.807,5279
23,653,estradiol,15 ?M,MCF7,0.88,0.368,-0.668,2653
24,644,Prestwick-692,7 ?M,HL60,0.877,0.22,-0.813,2165
25,702,0317956-0000,10 ?M,PC3,0.877,0.24,-0.793,4331
26,682,ethisterone,13 ?M,PC3,0.877,0.267,-0.765,3783
27,691,betulinic acid,9 ?M,MCF7,0.875,0.195,-0.835,4181
28,737,hydrastinine,16 ?M,MCF7,0.872,0.423,-0.604,5494
29,732,hydroquinine,9 ?M,PC3,0.872,0.368,-0.658,5789
30,673,eticlopride,11 ?M,MCF7,0.872,0.288,-0.738,3393
31,690,niclosamide,12 ?M,MCF7,0.871,0.45,-0.575,4136
32,735,nitrendipine,11 ?M,MCF7,0.869,0.328,-0.695,5405
33,676,alprostadil,11 ?M,MCF7,0.869,0.201,-0.821,7358
34,712,androsterone,14 ?M,PC3,0.866,0.226,-0.793,4635
35,659,primidone,18 ?M,HL60,0.865,0.213,-0.806,3065
36,663,Prestwick-691,14 ?M,MCF7,0.865,0.176,-0.842,2813
37,729,chlorprothixene,11 ?M,MCF7,0.863,0.257,-0.759,5291
38,708,felbinac,19 ?M,MCF7,0.862,0.373,-0.642,5700
39,680,halcinonide,9 ?M,PC3,0.861,0.175,-0.839,3680
40,726,aciclovir,18 ?M,MCF7,0.858,0.271,-0.739,5278
41,683,citalopram,1 ?M,PC3,0.853,0.287,-0.718,3820
42,659,2-aminobenzenesulfonamide,23 ?M,HL60,0.853,0.301,-0.703,3063
43,616,dizocilpine,12 ?M,PC3,0.85,0.3,-0.7,2069
44,751,beta-escin,3 ?M,MCF7,0.849,0.453,-0.547,6050
45,706,acebutolol,11 ?M,MCF7,0.848,0.263,-0.735,4976
46,627,sulfadiazine,16 ?M,MCF7,0.844,0.375,-0.618,1688
47,707,lisuride,12 ?M,MCF7,0.843,0.231,-0.762,5028
48,749,mephenytoin,18 ?M,HL60,0.843,0.315,-0.677,6158
