"","eff_length"
"5_8S_rRNA",456
"5S_rRNA",303
"7SK",1870
"A1BG",2301
"A1BG-AS1",2130
"A1CF",9517
"A2M",4844
"A2M-AS1",2192
"A2ML1",5274
"A2ML1-AS1",452
"A2ML1-AS2",386
"A2MP1",4130
"A3GALT2",1023
"A4GALT",2321
"A4GNT",1771
"AAAS",2016
"AACS",6646
"AACSP1",2822
"AADAC",1642
"AADACL2",4848
"AADACL2-AS1",628
"AADACL3",4049
"AADACL4",1575
"AADACP1",1285
"AADAT",2261
"AAGAB",2841
"AAK1",11345
"AAMDC",726
"AAMP",2270
"AANAT",1913
"AAR2",2689
"AARD",2299
"AARS",3477
"AARS2",3854
"AARSD1",1322
"AARSP1",453
"AASDH",3590
"AASDHPPT",5145
"AASS",3233
"AATBC",4598
"AATF",2141
"AATK",5257
"ABALON",1903
"ABAT",5586
"ABBA01006766.1",169
"ABCA1",10494
"ABCA10",6362
"ABCA11P",2110
"ABCA12",9100
"ABCA13",17184
"ABCA17P",4188
"ABCA2",8154
"ABCA3",6609
"ABCA4",7309
"ABCA5",8220
"ABCA6",8186
"ABCA7",6816
"ABCA8",5823
"ABCA9",6514
"ABCA9-AS1",838
"ABCB1",4778
"ABCB10",3857
"ABCB10P1",2181
"ABCB10P3",2166
"ABCB10P4",2184
"ABCB11",4775
"ABCB4",4020
"ABCB5",5811
"ABCB6",3016
"ABCB7",2408
"ABCB8",4683
"ABCB9",6051
"ABCC1",6594
"ABCC10",5088
"ABCC11",4862
"ABCC12",5168
"ABCC13",4080
"ABCC2",5312
"ABCC3",5716
"ABCC4",5839
"ABCC5",5921
"ABCC5-AS1",469
"ABCC6",5747
"ABCC6P1",2943
"ABCC6P2",706
"ABCC8",4923
"ABCC9",8293
"ABCD1",3664
"ABCD1P2",1601
"ABCD1P3",605
"ABCD1P4",604
"ABCD1P5",754
"ABCD2",6238
"ABCD3",4367
"ABCD4",3008
"ABCE1",3921
"ABCF1",3481
"ABCF2",3546
"ABCF2P1",1867
"ABCF2P2",296
"ABCF3",2844
"ABCG1",3475
"ABCG2",4479
"ABCG4",3852
"ABCG5",3033
"ABCG8",2665
"ABHD1",3107
"ABHD10",2590
